seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12749,711807,122,home,0,4-1-2-1-2,1,1,40,323790,Jonas Urbig,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,29,300444,Jan Thielmann,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,17,205972,Leart Paqarada,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,6,290398,Eric Martel,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,4,238520,Timo Hübers,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,24,387975,Julian Pauli,Center Left Defender,6,0,0,-1,,,,1,167683,3,167683.0,5220.0,87',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,7,262862,Dejan Ljubicic,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,9,191352,Luca Waldschmidt,Attacking Midfielder,8,0,0,-1,,,,1,231173,37,231173.0,3420.0,57',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,19,303792,Tim Lemperle,Center Left Forward,9,0,0,-1,,,,1,238566,33,238566.0,4560.0,76',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,42,359707,Damion Downs,Center Right Forward,10,0,0,-1,,,,1,182427,23,182427.0,3420.0,57',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,8,343969,Denis Huseinbasic,Left Midfielder,11,0,0,-1,,,,1,312337,16,312337.0,5220.0,87',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,3,167683,Dominique Heintz,Substitute,0,1,387975,24,387975.0,5220.0,87',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,20,89497,Philipp Pentke,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,36,387974,Meiko Wäschenbach,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,47,294277,Mathias Olesen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,18,290035,Rasmus Carstensen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,33,238566,Florian Dietz,Substitute,0,1,303792,19,303792.0,4560.0,76',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,37,231173,Linton Maina,Substitute,0,1,191352,9,191352.0,3420.0,57',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,23,182427,Sargis Adamyan,Substitute,0,1,359707,42,359707.0,3420.0,57',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,16,312337,Marvin Obuz,Substitute,0,1,343969,8,343969.0,5220.0,87',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,1,180162,Daniel Heuer Fernandes,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,18,238542,Bakery Jatta,Right Back,2,0,0,-1,,,,1,313897,2,313897.0,5400.0,90'+1',2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,28,243626,Miro Muheim,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,4,186148,Sebastian Schonlau,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,23,180819,Jonas Meffert,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,5,246836,Dennis Hadzikadunic,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,17,306895,Adam Karabec,Right Midfielder,7,0,0,-1,,,,1,188058,21,188058.0,3960.0,66',2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,8,343993,Daniel Elfadli,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,11,300961,Ransford-Yeboah Königsdörffer,Forward,9,0,0,-1,,,,1,196032,27,196032.0,5400.0,90'+1',2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,14,261363,Ludovit Reis,Center Left Midfielder,10,0,0,-1,,,,1,221452,3,221452.0,4980.0,83',2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,1,7,206999,Jean-Luc Dompé,Left Midfielder,11,0,0,-1,,,,1,388392,45,388392.0,3900.0,65',2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,33,283729,Noah Katterbach,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,10,290412,Immanuel Pherai,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,3,221452,Moritz Heyer,Substitute,0,1,261363,14,261363.0,4980.0,83',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,27,196032,Davie Selke,Substitute,0,1,300961,11,300961.0,5400.0,90'+1',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,2,313897,William Mikelbrencis,Substitute,0,1,238542,18,238542.0,5400.0,90'+1',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,13,321058,Guilherme Ramos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,21,188058,Levin Öztunali,Substitute,0,1,306895,17,306895.0,3960.0,66',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,45,388392,Fabio Baldé,Substitute,0,1,206999,7,206999.0,3900.0,65',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,127,away,1,5-4-1,1,0,12,121013,Tom Mickel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,1,218716,Dominik Reimann,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,11,240376,Mohamed El Hankouri,Right Midfielder,2,0,0,-1,,,,1,220800,27,220800.0,3660.0,61',2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,19,215338,Lubambo Musonda,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,15,306994,Daniel Heber,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,16,219189,Marcus Mathiesen,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,24,291983,Jean Hugonet,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,25,251665,Silas Gnaka,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,14,344660,Abu-Bekir Ömer El-Zein,Center Left Midfielder,8,0,0,-1,,,,1,258575,26,258575.0,4920.0,82',2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,9,250459,Martijn Kaars,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,8,286512,Bryan Teixeira,Center Right Forward,10,0,0,-1,,,,1,290512,10,290512.0,5400.0,90'+2',2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,1,29,366823,Livan Burcu,Center Left Forward,11,0,0,-1,,,,1,265775,37,265775.0,3600.0,60',2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,30,324704,Noah Kruth,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,3,323116,Andi Hoti,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,37,265775,Tatsuya Ito,Substitute,0,1,366823,29,366823.0,3600.0,60',0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,7,260935,Herbert Bockhorn,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,26,258575,Aleksa Marusic,Substitute,0,1,344660,14,344660.0,4920.0,82',0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,5,174546,Tobias Müller,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,13,221446,Connor Krempicki,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,27,220800,Philipp Hercher,Substitute,0,1,240376,11,240376.0,3660.0,61',0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10382,home,0,3-4-3,1,0,10,290512,Jason Ceka,Substitute,0,1,286512,8,286512.0,5400.0,90'+2',0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,20,324021,Nicolas Kristof,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,2,372788,Elias Baum,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,33,306927,Maurice Neubauer,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,6,306928,Robin Fellhauer,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,19,341826,Lukas Finn Pinckert,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,3,215035,Florian Le Joncour,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,17,386454,Frederik Schmahl,Right Midfielder,7,0,0,-1,,,,1,180818,11,180818.0,2700.0,45',2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,21,364898,Paul Stock,Attacking Midfielder,8,0,0,-1,,,,1,268973,23,268973.0,5100.0,85',2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,7,278014,Manuel Feil,Center Right Forward,9,0,0,-1,,,,1,331057,10,331057.0,3720.0,62',2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,24,207335,Luca Schnellbacher,Midfielder,10,0,0,-1,,,,1,386469,27,386469.0,4500.0,75',2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,1,8,344743,Semih Sahin,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,32,386461,Daniel Pantschenko,,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,18,386464,Mohammad Mahmoud,,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,27,386469,Filimon Gerezgiher,,0,1,207335,24,207335.0,4500.0,75',0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,10,331057,Fisnik Asllani,,0,1,278014,7,278014.0,3720.0,62',0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,22,294634,Joseph Boyamba,,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,28,275817,Tim Boss,,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,23,268973,Carlo Sickinger,,0,1,364898,21,364898.0,5100.0,85',0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,26,235559,Arne Sicker,,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711808,10388,away,0,4-3-1-2,1,0,11,180818,Luca Dürholtz,,0,1,386454,17,386454.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,28,343985,Justin Heekeren,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,17,326766,Adrian Gantenbein,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,5,277870,Derry John Murkin,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,14,205916,Janik Bachmann,Left Midfielder,4,0,0,-1,,,,1,154394,35,154394.0,4080.0,68',2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,26,164919,Tomás Kalas,Center Right Defender,5,0,0,-1,,,,1,387996,22,387996.0,5280.0,88',2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,6,253816,Ron Schallenberg,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,23,316105,Mehmet Can Aydin,Attacking Midfielder Right,7,0,0,-1,,,,1,238273,30,238273.0,4080.0,68',2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,7,199922,Paul Seguin,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,9,40791,Moussa Sylla,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,19,188057,Kenan Karaman,Attacking Midfielder,10,0,0,-1,,,,1,136593,40,136593.0,5280.0,88',2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,1,29,275821,Tobias Mohr,Attacking Midfielder Left,11,0,0,-1,,,,1,332429,15,332429.0,4080.0,68',2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,1,259128,Ron-Thorben Hofmann,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,22,387996,Ibrahima Cissé,Substitute,0,1,164919,26,164919.0,5280.0,88',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,2,358421,Felipe Sanchez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,40,136593,Sebastian Polter,Substitute,0,1,188057,19,188057.0,5280.0,88',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,15,332429,Emil Höjlund,Substitute,0,1,275821,29,275821.0,4080.0,68',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,35,154394,Marcin Kaminski,Substitute,0,1,205916,14,205916.0,4080.0,68',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,21,324012,Martin Wasinski,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,41,319272,Henning Matriciani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,133,home,1,4-2-3-1,1,0,30,238273,Anton Donkor,Substitute,0,1,316105,23,316105.0,4080.0,68',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,1,231180,Lennart Grill,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,25,306382,Sanoussy Ba,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,19,291753,Leon Bell,Left Midfielder,3,0,0,-1,,,,1,343950,22,343950.0,3480.0,58',2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,4,261318,Jannis Nikolaou,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,6,153319,Ermin Bicakcic,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,21,286350,Kevin Ehlers,Center Right Defender,6,0,0,-1,,,,1,288371,32,288371.0,4620.0,77',2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,7,189552,Fabio Kaufmann,Center Right Midfielder,7,0,0,-1,,,,1,306433,10,306433.0,4620.0,77',2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,37,319332,Sidney Raebiger,Center Left Midfielder,8,0,0,-1,,,,1,305191,11,305191.0,2700.0,45',2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,9,291849,Rayan Philippe,Center Left Forward,9,0,0,-1,,,,1,284738,5,284738.0,5160.0,86',2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,44,364592,Johan Gómez,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,1,27,290759,Sven Kohler,Attacking Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,8,307266,Niklas Tauer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,22,343950,Fabio Di-Michele-Sanchez,Substitute,0,1,291753,19,291753.0,3480.0,58',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,34,366429,Justin Duda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,10,306433,Walid Ould-Chikh,Substitute,0,1,189552,7,189552.0,4620.0,77',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,18,306060,Marvin Rittmüller,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,11,305191,Levente Szabo,Substitute,0,1,319332,37,319332.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,32,288371,Christian Conteh,Substitute,0,1,286350,21,286350.0,4620.0,77',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,5,284738,Robert Ivanov,Substitute,0,1,291849,9,291849.0,5160.0,86',0,0,-1,,,,2024-10-14 06:59:34
12749,711809,3067,away,0,3-5-2,1,0,39,221432,Robin Krausse,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,44,319415,Nahuel Nicolas Noll,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,2,271605,Simon Asta,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,11,268123,Roberto Massimo,Left Midfielder,3,0,0,-1,,,,1,176972,17,176972.0,4800.0,80',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,27,231183,Gian-Luca Itter,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,23,206580,Gideon Jung,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,18,289361,Marco Meyerhöfer,Center Right Defender,6,0,0,-1,,,,1,290884,14,290884.0,5340.0,89',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,36,362901,Philipp Muller,Center Right Midfielder,7,0,0,-1,,,,1,368318,5,368318.0,4800.0,80',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,37,191018,Julian Green,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,10,174506,Branimir Hrgota,Attacking Midfielder,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,9,306991,Noel Futkeu,Center Right Forward,10,0,0,-1,,,,1,338849,3,338849.0,5340.0,89',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,7,221551,Dennis Srbeny,Center Left Forward,11,0,0,-1,,,,1,307265,8,307265.0,4260.0,71',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,1,220715,Nils-Jonathan Körber,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,19,386862,Matti Wagner,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,20,379232,Leander Popp,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,5,368318,Reno Munz,Substitute,0,1,362901,36,362901.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,4,349227,Damian Michalski,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,3,338849,Oualid Mhamdi,Substitute,0,1,306991,9,306991.0,5340.0,89',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,17,176972,Niko Gießelmann,Substitute,0,1,268123,11,268123.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,8,307265,Marlon Mustapha,Substitute,0,1,221551,7,221551.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,14,290884,Jomaine Consbruch,Substitute,0,1,289361,18,289361.0,5340.0,89',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,1,345741,Johannes Schenk,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,27,366370,Jano Horst,Right Back,2,0,0,-1,,,,1,223554,22,223554.0,4380.0,73',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,2,173803,Mikkel Kirkeskov,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,32,324322,Luca Bazzoli,Center Right Midfielder,4,0,0,-1,,,,1,296783,14,296783.0,4380.0,73',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,24,333930,Niko Koulis,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,29,321225,Lukas Frenkert,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,8,226108,Joshua Mees,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,20,188338,Jorrit Hendrix,Center Left Midfielder,8,0,0,-1,,,,1,258962,30,258962.0,3840.0,64',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,23,278145,Malik Batmaz,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,9,260779,Joel Grodowski,Center Right Forward,10,0,0,-1,,,,1,337893,7,337893.0,3840.0,64',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,18,118466,Marc Lorenz,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,7,337893,Daniel Kyerewaa,Substitute,0,1,260779,9,260779.0,3840.0,64',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,5,366366,Yassine Bouchama,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,25,344804,Luca Bolay,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,22,223554,Dominik Schad,Substitute,0,1,366370,27,366370.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,14,296783,Charalampos Makridis,Substitute,0,1,324322,32,324322.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,16,278142,Torge Paetow,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,26,275802,Morten Behrens,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,21,275796,Rico Preibinger,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,30,258962,Etienne Amenyido,Substitute,0,1,188338,20,188338.0,3840.0,64',0,0,-1,,,,2024-10-14 06:59:34
12749,711811,2428,home,1,3-4-2-1,1,1,1,121007,Ron-Robert Zieler,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711811,2428,home,1,3-4-2-1,1,1,21,159337,Sei Muroya,Right Midfielder,2,0,0,-1,,,,1,319098,37,319098.0,5040.0,84',2024-10-14 06:59:34
12749,711811,2428,home,1,3-4-2-1,1,1,20,214185,Jannick Dehm,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
