seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12722,709279,12597,home,1,4-4-2,1,1,13,189960,Ander Cantero,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,4,233278,Anderson Arroyo,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,3,213890,Florian Miguel,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,6,310912,Raúl Navarro,Center Right Midfielder,4,0,0,-1,,,,1,297369,23,297369.0,4560.0,76',2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,27,371688,David López,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,18,213024,Aitor Córdoba,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,11,354342,Álex Sancris,Right Midfielder,7,0,0,-1,,,,1,346404,14,346404.0,5400.0,90',2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,12,276262,Kevin Appin,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,9,301684,Fernando Niño,Center Left Forward,9,0,0,-1,,,,1,277723,19,277723.0,4560.0,76',2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,16,231344,Curro,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,1,7,124671,Daniel Ojeda,Left Midfielder,11,0,0,-1,,,,1,227414,21,227414.0,4080.0,68',2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,0,8,320766,Ander Martín,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,0,28,332595,Saúl Del Cerro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12722,709279,12597,home,1,4-4-2,1,0,23,297369,Ivan Ruiz Morante,Substitute,0,1,310912,6,310912.0,4560.0,76',0,0,-1,,,,2024-10-14 06:59:34
