seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12370,694171,3,home,1,4-3-3,1,1,50,200275,Diego Rodríguez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,23,335361,Thiago Santamaría,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,6,316426,Román Vega,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,36,361360,Ariel Gamarra,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,16,269818,Francisco Álvarez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,13,371487,Tobías Palacio,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,22,336485,Alan Lescano,Right Midfielder,7,0,0,-1,,,,1,335363,5,335363.0,4922.0,83',2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,29,318247,Emiliano Viveros,Left Midfielder,8,0,0,-1,,,,1,195711,21,195711.0,3618.0,61',2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,15,204346,Leonardo Heredia,Forward,9,0,0,-1,,,,1,270364,10,270364.0,3607.0,61',2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,32,312227,Luciano Gondou,Right Forward,10,0,0,-1,,,,1,318182,28,318182.0,4919.0,82',2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,1,9,184453,Maxi Romero,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,4,172540,Erik Godoy,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,18,106148,Fernando Meza,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,12,335365,Gonzalo Siri Payer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,5,335363,Juan Cardozo,Substitute,0,1,336485,22,336485.0,4922.0,83',0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,26,335360,José Herrera,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,7,307331,Santiago Montiel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,10,270364,Gastón Verón,Substitute,0,1,204346,15,204346.0,3607.0,61',0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,17,264514,Franco Moyano,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,11,233674,Damián Batallini,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,20,218629,Sebastián Prieto,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,21,195711,Nicolás Oroz,Substitute,0,1,318247,29,318247.0,3618.0,61',0,0,-1,,,,2024-10-13 23:19:26
12370,694171,3,home,1,4-3-3,1,0,28,318182,Matías Perello,Substitute,0,1,312227,32,312227.0,4919.0,82',0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,1,68093,Jorge Broun,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,33,262567,Emanuel Coronel,Right Midfielder,2,0,0,-1,,,,1,309474,22,309474.0,4319.0,72',2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,21,363475,Alan Rodríguez,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,2,105823,Carlos Quintana,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,6,199960,Juan Komar,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,24,338923,Juan Giménez,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,16,188476,Mauricio Martínez,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,45,335515,Kevin Ortíz,Center Left Midfielder,8,0,0,-1,,,,1,342002,30,342002.0,4805.0,81',2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,44,371423,Agustín Módica,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,7,236061,Maximiliano Lovera,Center Right Forward,10,0,0,-1,,,,1,255295,13,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,1,10,200353,Víctor Malcorra,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,22,309474,Laurtaro Giaccone,Substitute,0,1,262567,33,262567.0,4319.0,72',0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,30,342002,Tomas O'Connor,Substitute,0,1,335515,45,335515.0,4805.0,81',0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,29,309473,Luca Martinez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,48,309391,Ariel Cervera,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,18,287394,Francesco Lo Celso,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,3,307599,Gonzalo Sandez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,15,255382,Facundo Mallo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,13,255295,Leandro Campaz,Substitute,0,1,236061,7,236061.0,4313.0,72',0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,23,250703,Giovanni Bogado,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,20,176808,Axel Werner,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,60,126945,Jonathan Gómez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694171,17,away,0,3-4-3,1,0,4,120501,Damián Martínez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,25,263086,Tomás Durso,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,14,292394,Agustín Lagos,Right Back,2,0,0,-1,,,,1,307335,26,307335.0,4014.0,67',2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,32,179877,Juan Infante,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,5,3494,Adrián Sánchez,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,2,297053,Francisco Flores,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,20,313955,Nicolás Romero,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,18,216727,Renzo Tesuri,Right Midfielder,7,0,0,-1,,,,1,264810,40,264810.0,5071.0,85',2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,8,181820,Guillermo Acosta,Center Left Midfielder,8,0,0,-1,,,,1,206579,39,206579.0,5077.0,85',2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,37,263219,Mateo Coronel,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,9,278611,Mateo Bajamich,Center Right Forward,10,0,0,-1,,,,1,96687,19,96687.0,3427.0,58',2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,1,10,233943,Joaquín Pereyra,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,16,331073,Moisés Brandán,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,7,235731,Nicolás Servetto,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,39,206579,Matías Orihuela,Substitute,0,1,181820,8,181820.0,5077.0,85',0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,1,195679,José Devecchi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,23,379902,Francisco Bonfiglio,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,4,128009,Rodrigo Morales,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,19,96687,Marcelo Estigarribia,Substitute,0,1,278611,9,278611.0,3427.0,58',0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,11,57149,Nicolás Castro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,40,264810,Justo Giani,Substitute,0,1,216727,18,216727.0,5071.0,85',0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,44,359444,Julian Carrasco,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,22,338871,Sergio Ortíz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,9785,home,1,4-4-2,1,0,26,307335,Tomás Castro Ponce,Substitute,0,1,292394,14,292394.0,4014.0,67',0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,1,125298,Sergio Romero,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,17,181709,Luis Advíncula,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,23,290542,Lautaro Blanco,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,43,382978,Milton Delgado,Sweeper,4,0,0,-1,,,,1,176813,11,176813.0,3266.0,55',2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,4,189952,Jorge Figal,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,40,341457,Lautaro Di Lollo,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,36,297056,Cristian Medina,Right Midfielder,7,0,0,-1,,,,1,382977,41,382977.0,5078.0,85',2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,21,364080,Ignacio Fernández,Center Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,14,338883,Luca Langoni,Center Right Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,16,260812,Miguel Merentiel,Center Left Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,1,18,149496,Frank Fabra,Left Midfielder,11,0,0,-1,,,,1,351815,47,351815.0,3258.0,55',2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,29,240421,Norberto Briasco,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,34,382974,Mateo Mendia,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,47,351815,Jabes Saralegui,,0,1,149496,18,149496.0,3258.0,55',0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,45,349711,Mauricio Benitez,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,12,335580,Leandro Brey,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,5,282380,Ezequiel Bullaude,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,49,270221,Jorman Campuzano,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,41,382977,Iker Zufiaurre,,0,1,297056,36,297056.0,5078.0,85',0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,3,219270,Marcelo Saracchi,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,11,176813,Lucas Janson,,0,1,382978,43,382978.0,3266.0,55',0,0,-1,,,,2024-10-13 23:19:26
12370,694172,5,away,0,4-1-3-2,1,0,8,172427,Guillermo Fernández,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12370,694173,4,home,0,3-4-2-1,1,1,25,199641,Nahuel Hernán Losada,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,4,285026,Juan Barinaga,Right Midfielder,2,0,0,-1,,,,1,366525,35,366525.0,4108.0,69',2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,26,318398,Facundo Lencioni,Left Midfielder,3,0,0,-1,,,,1,325528,53,325528.0,3432.0,58',2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,45,292058,Agustín Baldi,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,37,366526,Mariano Troilo,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,40,186457,Matias Moreno,Center Right Defender,6,0,0,-1,,,,1,200374,6,200374.0,4687.0,79',2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,34,366937,Gerónimo Heredia,Center Right Midfielder,7,0,0,-1,,,,1,264165,11,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,16,227730,Esteban Rolón,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,29,70182,Franco Jara,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,10,253929,Matías Marín,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,1,24,234997,Francisco Gonzalez Metilli,Center Left Forward,11,0,0,-1,,,,1,200937,23,200937.0,3414.0,57',2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,43,366936,Franco Rami,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,35,366525,Francisco Facello,Substitute,0,1,285026,4,285026.0,4108.0,69',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,53,325528,Juan Velazquez,Substitute,0,1,318398,26,318398.0,3432.0,58',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,2,292106,Gonzalo Maffini,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,5,290766,Santiago Longo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,11,264165,Brayan Reyna,Substitute,0,1,366937,34,366937.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,1,233918,Ignacio Chicco,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,23,200937,Facundo Quignón,Substitute,0,1,234997,24,234997.0,3414.0,57',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,6,200374,Alejandro Rébola,Substitute,0,1,186457,40,186457.0,4687.0,79',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,15,176235,Matias Ariel Garcia,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,19,150230,Pablo Chavarría,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,4,home,0,3-4-2-1,1,0,32,107419,Ariel Rojas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,25,233910,Facundo Cambeses,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,15,302209,Gastón Martirena,Right Back,2,0,0,-1,,,,1,136728,4,136728.0,4169.0,70',2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,27,238734,Gabriel Rojas,Left Back,3,0,0,-1,,,,1,313958,47,313958.0,4954.0,83',2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,5,290594,Juan Nardoni,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,30,108478,Leonardo Sigali,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,6,268534,Nazareno Colombo,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,13,271473,Santiago Sosa,Right Midfielder,7,0,0,-1,,,,1,301950,3,301950.0,4568.0,77',2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,22,339804,Baltasar Gallego,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,10,192180,Roger Martínez,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,18,283676,Agustín Urzi,Right Forward,10,0,0,-1,,,,1,269799,32,269799.0,4155.0,70',2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,1,17,270246,Johan Carbonero,Left Forward,11,0,0,-1,,,,1,315926,28,315926.0,4553.0,76',2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,28,315926,Santiago Solari,Substitute,0,1,270246,17,270246.0,4553.0,76',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,47,313958,Ignacio Galván,Substitute,0,1,238734,27,238734.0,4954.0,83',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,49,368309,David González,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,3,301950,Marco Di Cesare,Substitute,0,1,271473,13,271473.0,4568.0,77',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,38,339805,Tobías Rubio,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,2,186254,Agustín García Basso,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,19,182550,Leonel Miranda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,36,144267,Bruno Zuculini,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,4,136728,Ivan Pillud,Substitute,0,1,302209,15,302209.0,4169.0,70',0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,21,124520,Gabriel Arias,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,9,3038,Adrián Emmanuel Martínez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694173,15,away,0,4-3-3,1,0,32,269799,Agustín Almendra,Substitute,0,1,283676,18,283676.0,4155.0,70',0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,1,146637,Ignacio Arce,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,4,176757,Yaison Murillo,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,6,155865,Nicolás Dematei,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,16,35213,Guillermo Pereyra,Center Right Midfielder,4,0,0,-1,,,,1,271228,27,271228.0,4206.0,71',2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,40,315722,Alan Barrionuevo,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,15,233726,Nicolás Sansotre,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,30,214423,Leonardo Landriel,Right Midfielder,7,0,0,-1,,,,1,292030,29,292030.0,5187.0,87',2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,14,337014,Pablo Monje,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,9,155955,Jonathan Herrera,Center Left Forward,9,0,0,-1,,,,1,180323,11,180323.0,5400.0,90'+3',2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,17,199149,Gustavo Fernández,Center Right Forward,10,0,0,-1,,,,1,151035,33,151035.0,5178.0,87',2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,1,5,194848,Pedro Ramirez,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,3,240398,Nicolás Caro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,21,82547,Ramón Gonzalez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,22,67312,José Méndez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,10,140475,Gonzalo Bravo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,2,145646,Nahuel Iribarren,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,33,151035,Maximiliano Brito,Substitute,0,1,199149,17,199149.0,5178.0,87',0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,29,292030,Máximiliano Rodríguez,Substitute,0,1,214423,30,214423.0,5187.0,87',0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,36,279970,Delfor Minervino,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,11,180323,Walter Acuña,Substitute,0,1,155955,9,155955.0,5400.0,90'+3',0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,24,200401,Gustavo Oscar Benítez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,13,206615,Juan Ignancio Dobboletta,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,17702,home,1,4-4-2,1,0,27,271228,Jonathan Goitia,Substitute,0,1,35213,16,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,25,216524,Gastón Gómez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,35,315617,Gonzalo Lujan,Right Back,2,0,0,-1,,,,1,283675,28,283675.0,4703.0,79',2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,37,361498,Elías Baez,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,2,69908,Nicolás Hernández,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,6,101471,Carlos Sánchez,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,4,235956,Jhohan Romaña,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,7,147573,Ezequiel Cerutti,Center Right Midfielder,7,0,0,-1,,,,1,76914,29,76914.0,3586.0,60',2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,50,318143,Francisco Perruzzi,Center Midfielder,8,0,0,-1,,,,1,361313,34,361313.0,2700.0,45',2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,9,212444,Cristian Tarragona,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12370,694174,18,away,0,5-3-2,1,1,27,223044,Diego Herazo,Center Right Forward,10,0,0,-1,,,,1,252629,11,252629.0,2700.0,45',2024-10-14 01:54:08
