seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12497,719874,0,-1,,Lineups are announced and players are warming up.,2024-08-27 05:40:14
12497,719874,1,-1,,First Half begins.,2024-08-27 05:40:14
12497,719874,2,43630336,2',Darlington Nagbe (Columbus Crew) wins a free kick in the defensive half.,2024-08-27 05:40:14
12497,719874,3,43630336,2',Foul by Eduard Atuesta (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,4,43630370,5',Foul by Steven Moreira (Columbus Crew).,2024-08-27 05:40:14
12497,719874,5,43630370,5',Mateusz Bogusz (Los Angeles Football Club) wins a free kick on the left wing.,2024-08-27 05:40:14
12497,719874,6,43630373,6',Attempt blocked. Dénis Bouanga (Los Angeles Football Club) right footed shot from the left side of the box is blocked. Assisted by Eduard Atuesta.,2024-08-27 05:40:14
12497,719874,7,43630388,6',Attempt saved. Mateusz Bogusz (Los Angeles Football Club) right footed shot from outside the box is saved in the centre of the goal.,2024-08-27 05:40:14
12497,719874,8,43630407,8',Attempt blocked. Dénis Bouanga (Los Angeles Football Club) right footed shot from more than 40 yards on the right wing is blocked. Assisted by Eduard Atuesta.,2024-08-27 05:40:14
12497,719874,9,43630409,9',Cucho Hernández (Columbus Crew) wins a free kick on the right wing.,2024-08-27 05:40:14
12497,719874,10,43630409,9',Foul by Aaron Long (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,11,43630428,10',Attempt blocked. Darlington Nagbe (Columbus Crew) right footed shot from the left side of the box is blocked. Assisted by Diego Rossi.,2024-08-27 05:40:14
12497,719874,12,-1,10',"Corner, Columbus Crew. Conceded by Eduard Atuesta.",2024-08-27 05:40:14
12497,719874,13,43630430,11',Eduard Atuesta (Los Angeles Football Club) wins a free kick in the defensive half.,2024-08-27 05:40:14
12497,719874,14,43630430,11',Foul by Rudy Camacho (Columbus Crew).,2024-08-27 05:40:14
12497,719874,15,43630431,11',Rudy Camacho (Columbus Crew) is shown the yellow card for a bad foul.,2024-08-27 05:40:14
12497,719874,16,-1,12',Delay in match because of an injury Eduard Atuesta (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,17,-1,13',Delay over. They are ready to continue.,2024-08-27 05:40:14
12497,719874,18,43630453,14',"Offside, Columbus Crew. Cucho Hernández is caught offside.",2024-08-27 05:40:14
12497,719874,19,43630455,14',Darlington Nagbe (Columbus Crew) wins a free kick in the defensive half.,2024-08-27 05:40:14
12497,719874,20,43630455,14',Foul by Ilie Sánchez (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,21,43630463,16',Christian Ramirez (Columbus Crew) wins a free kick on the right wing.,2024-08-27 05:40:14
12497,719874,22,43630463,16',Foul by Dénis Bouanga (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,23,43630476,18',Foul by Olivier Giroud (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,24,43630476,18',Sean Zawadzki (Columbus Crew) wins a free kick in the defensive half.,2024-08-27 05:40:14
12497,719874,25,-1,21',"Corner, Columbus Crew. Conceded by Eduard Atuesta.",2024-08-27 05:40:14
12497,719874,26,43630502,22',Attempt missed. Max Arfsten (Columbus Crew) left footed shot from the left side of the box is high and wide to the left.,2024-08-27 05:40:14
12497,719874,27,43630523,24',Attempt blocked. Max Arfsten (Columbus Crew) right footed shot from the left side of the box is blocked. Assisted by Cucho Hernández.,2024-08-27 05:40:14
12497,719874,28,43630525,24',"Corner, Columbus Crew. Conceded by Sergi Palencia.",2024-08-27 05:40:14
12497,719874,29,43630526,24',Attempt missed. Darlington Nagbe (Columbus Crew) right footed shot from outside the box misses to the left following a corner.,2024-08-27 05:40:14
12497,719874,30,43630566,25',Attempt missed. Cucho Hernández (Columbus Crew) right footed shot from outside the box misses to the left. Assisted by Diego Rossi following a fast break.,2024-08-27 05:40:14
12497,719874,31,-1,32',Delay in match (Columbus Crew).,2024-08-27 05:40:14
12497,719874,32,-1,34',Delay over. They are ready to continue.,2024-08-27 05:40:14
12497,719874,33,43630651,35',Foul by Olivier Giroud (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,34,43630651,35',Sean Zawadzki (Columbus Crew) wins a free kick in the defensive half.,2024-08-27 05:40:14
12497,719874,35,43630660,36',Darlington Nagbe (Columbus Crew) wins a free kick in the defensive half.,2024-08-27 05:40:14
12497,719874,36,43630660,36',Foul by Eduard Atuesta (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,37,43630661,36',Eduard Atuesta (Los Angeles Football Club) is shown the yellow card for a bad foul.,2024-08-27 05:40:14
12497,719874,38,43630680,39',Diego Rossi (Columbus Crew) wins a free kick on the left wing.,2024-08-27 05:40:14
12497,719874,39,43630680,39',Foul by Eduard Atuesta (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,40,43630688,40',Attempt blocked. Diego Rossi (Columbus Crew) right footed shot from long range on the left is blocked.,2024-08-27 05:40:14
12497,719874,41,43630709,42',Attempt saved. Diego Rossi (Columbus Crew) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Max Arfsten.,2024-08-27 05:40:14
12497,719874,42,43630710,42',Darlington Nagbe (Columbus Crew) wins a free kick in the defensive half.,2024-08-27 05:40:14
12497,719874,43,43630710,42',Foul by Mateusz Bogusz (Los Angeles Football Club).,2024-08-27 05:40:14
12497,719874,44,43630728,44',"Corner, Columbus Crew. Conceded by Jesús Murillo.",2024-08-27 05:40:14
12497,719874,45,43630738,45',"Goal! Columbus Crew 1, Los Angeles Football Club 0. Cucho Hernández (Columbus Crew) header from very close range to the top right corner. Assisted by Mohamed Farsi following a corner.",2024-08-27 05:40:14
