seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12525,702011,1,43467070,70,Iker Bravo (Spain U19) Goal at 41',Iker Bravo Goal,1,2460,41',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,330242.0,Iker Bravo,2024-07-29 12:04:38
12525,702011,2,43467522,76,Steve Ngoura (France U19) Substitution at 62',Steve Ngoura Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,346520.0,Steve Ngoura,2024-07-29 12:04:38
12525,702011,3,43467523,76,Lucas Michel (France U19) Substitution at 62',Lucas Michel Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,356651.0,Lucas Michel,2024-07-29 12:04:38
12525,702011,4,43467524,76,Senny Mayulu (France U19) Substitution at 62',Senny Mayulu Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,379088.0,Senny Mayulu,2024-07-29 12:04:38
12525,702011,2,43467522,76,Steve Ngoura (France U19) Substitution at 62',Steve Ngoura Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,371472.0,Saïmon Bouabré,2024-07-29 12:04:38
12525,702011,3,43467523,76,Lucas Michel (France U19) Substitution at 62',Lucas Michel Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,363129.0,Dehmaine Assoumani,2024-07-29 12:04:38
12525,702011,4,43467524,76,Senny Mayulu (France U19) Substitution at 62',Senny Mayulu Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,346662.0,Jean-Mattéo Bahoya,2024-07-29 12:04:38
12525,702011,6,43467620,97,Jérémy Jacquet (France U19) Own Goal at 68',Jérémy Jacquet Own Goal,2,4080,68',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,Jérémy Jacquet,2024-07-29 12:04:38
12525,702011,5,43467619,76,Assane Diao (Spain U19) Substitution at 68',Assane Diao Substitution,2,4080,68',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,364742.0,Assane Diao,2024-07-29 12:04:38
12525,702011,5,43467619,76,Assane Diao (Spain U19) Substitution at 68',Assane Diao Substitution,2,4080,68',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,363041.0,Daniel Rodríguez,2024-07-29 12:04:38
12525,702011,7,43467710,76,Mathis Amougou (France U19) Substitution at 73',Mathis Amougou Substitution,2,4380,73',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,364764.0,Mathis Amougou,2024-07-29 12:04:38
12525,702011,7,43467710,76,Mathis Amougou (France U19) Substitution at 73',Mathis Amougou Substitution,2,4380,73',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,362974.0,Mayssam Benama,2024-07-29 12:04:38
12525,702011,8,43467762,93,Yoni Gomis (France U19) Red Card at 76',Yoni Gomis Red Card,2,4560,76',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,345688.0,Yoni Gomis,2024-07-29 12:04:38
12525,702011,9,43467853,76,Mamadou Sarr (France U19) Substitution at 81',Mamadou Sarr Substitution,2,4860,81',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,355433.0,Mamadou Sarr,2024-07-29 12:04:38
12525,702011,10,43467854,76,Yanis Senhadji (Spain U19) Substitution at 81',Yanis Senhadji Substitution,2,4860,81',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,386257.0,Yanis Senhadji,2024-07-29 12:04:38
12525,702011,11,43467855,76,Jesús Rodriguez (Spain U19) Substitution at 81',Jesús Rodriguez Substitution,2,4860,81',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387491.0,Jesús Rodriguez,2024-07-29 12:04:38
12525,702011,9,43467853,76,Mamadou Sarr (France U19) Substitution at 81',Mamadou Sarr Substitution,2,4860,81',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,331084.0,Saël Kumbedi,2024-07-29 12:04:38
12525,702011,10,43467854,76,Yanis Senhadji (Spain U19) Substitution at 81',Yanis Senhadji Substitution,2,4860,81',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,377843.0,Rayane Belaid,2024-07-29 12:04:38
12525,702011,11,43467855,76,Jesús Rodriguez (Spain U19) Substitution at 81',Jesús Rodriguez Substitution,2,4860,81',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,375390.0,David Mella,2024-07-29 12:04:38
12524,702010,1,43449522,70,Rasmus Holten (Norway U19) Goal at 15',Rasmus Holten Goal,1,900,15',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,356399.0,Rasmus Holten,2024-07-26 11:46:36
12524,702010,2,43449600,94,Emre Uzun (Turkey U19) Yellow Card at 39',Emre Uzun Yellow Card,1,2340,39',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,350905.0,Emre Uzun,2024-07-26 11:46:36
12524,702010,3,43449754,76,Ali Bülbül (Turkey U19) Substitution at 45',Ali Bülbül Substitution,2,2700,45',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,345238.0,Ali Bülbül,2024-07-26 11:46:36
12524,702010,4,43449755,76,Berkay Yilmaz (Turkey U19) Substitution at 45',Berkay Yilmaz Substitution,2,2700,45',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387472.0,Berkay Yilmaz,2024-07-26 11:46:36
12524,702010,5,43449756,76,Emirhan Demircan (Turkey U19) Substitution at 45',Emirhan Demircan Substitution,2,2700,45',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,352177.0,Emirhan Demircan,2024-07-26 11:46:36
12524,702010,3,43449754,76,Ali Bülbül (Turkey U19) Substitution at 45',Ali Bülbül Substitution,2,2700,45',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,377770.0,Haluk Tan,2024-07-26 11:46:36
12524,702010,4,43449755,76,Berkay Yilmaz (Turkey U19) Substitution at 45',Berkay Yilmaz Substitution,2,2700,45',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387330.0,Emirhan Basyigit,2024-07-26 11:46:36
12524,702010,5,43449756,76,Emirhan Demircan (Turkey U19) Substitution at 45',Emirhan Demircan Substitution,2,2700,45',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387499.0,Diren Dagdeviren,2024-07-26 11:46:36
12524,702010,6,43449806,94,Eivind Helland (Norway U19) Yellow Card at 53',Eivind Helland Yellow Card,2,3180,53',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,361818.0,Eivind Helland,2024-07-26 11:46:36
12524,702010,7,43449841,76,Mats Pedersen (Norway U19) Substitution at 61',Mats Pedersen Substitution,2,3660,61',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,328499.0,Mats Pedersen,2024-07-26 11:46:36
12524,702010,7,43449841,76,Mats Pedersen (Norway U19) Substitution at 61',Mats Pedersen Substitution,2,3660,61',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,334075.0,Benjamin Thoresen Faraas,2024-07-26 11:46:36
12524,702010,8,43449901,76,Bork Bang-Kittilsen (Norway U19) Substitution at 70',Bork Bang-Kittilsen Substitution,2,4200,70',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,361860.0,Bork Bang-Kittilsen,2024-07-26 11:46:36
12524,702010,8,43449901,76,Bork Bang-Kittilsen (Norway U19) Substitution at 70',Bork Bang-Kittilsen Substitution,2,4200,70',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,341309.0,Edvin Austbø,2024-07-26 11:46:36
12524,702010,9,43449941,94,Berkay Yilmaz (Turkey U19) Yellow Card at 77',Berkay Yilmaz Yellow Card,2,4620,77',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387472.0,Berkay Yilmaz,2024-07-26 11:46:36
12524,702010,10,43449942,76,Isak Vural (Turkey U19) Substitution at 77',Isak Vural Substitution,2,4620,77',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,340184.0,Isak Vural,2024-07-26 11:46:36
12524,702010,10,43449942,76,Isak Vural (Turkey U19) Substitution at 77',Isak Vural Substitution,2,4620,77',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387308.0,Yusuf Sertkaya,2024-07-26 11:46:36
12524,702010,11,43449960,76,Hakon Rosten (Norway U19) Substitution at 80',Hakon Rosten Substitution,2,4800,80',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,331109.0,Hakon Rosten,2024-07-26 11:46:36
12524,702010,11,43449960,76,Hakon Rosten (Norway U19) Substitution at 80',Hakon Rosten Substitution,2,4800,80',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,349089.0,Travis Hearnes,2024-07-26 11:46:36
12524,702010,12,43449961,70,Isak Vural (Turkey U19) Goal at 81',Isak Vural Goal,2,4860,81',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,340184.0,Isak Vural,2024-07-26 11:46:36
12524,702010,13,43450023,94,Muhammed Arikan (Turkey U19) Yellow Card at 86',Muhammed Arikan Yellow Card,2,5160,86',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,307501.0,Muhammed Arikan,2024-07-26 11:46:36
12524,702010,14,43450359,76,Fahri Kerem Ay (Turkey U19) Substitution at 105',Fahri Kerem Ay Substitution,4,6300,105',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,384013.0,Fahri Kerem Ay,2024-07-26 11:46:36
12524,702010,14,43450359,76,Fahri Kerem Ay (Turkey U19) Substitution at 105',Fahri Kerem Ay Substitution,4,6300,105',6170,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,365038.0,Emir Bars,2024-07-26 11:46:36
12524,702010,15,43450497,76,Vetle Auklend (Norway U19) Substitution at 120',Vetle Auklend Substitution,4,7200,120',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,377601.0,Vetle Auklend,2024-07-26 11:46:36
12524,702010,16,43450498,76,Julian Gonstad (Norway U19) Substitution at 120',Julian Gonstad Substitution,4,7200,120',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,333793.0,Julian Gonstad,2024-07-26 11:46:36
12524,702010,17,43450552,94,Rasmus Holten (Norway U19) Yellow Card at 120',Rasmus Holten Yellow Card,5,7200,120',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,356399.0,Rasmus Holten,2024-07-26 11:46:36
12524,702010,15,43450497,76,Vetle Auklend (Norway U19) Substitution at 120',Vetle Auklend Substitution,4,7200,120',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,357343.0,Simen Haram,2024-07-26 11:46:36
12524,702010,16,43450498,76,Julian Gonstad (Norway U19) Substitution at 120',Julian Gonstad Substitution,4,7200,120',19232,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,332568.0,Filip Loftesnes Bjune,2024-07-26 11:46:36
12526,702008,1,43449357,94,Francesco Camarda (Italy U19) Yellow Card at 10',Francesco Camarda Yellow Card,1,600,10',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,377563.0,Francesco Camarda,2024-07-26 11:46:36
12526,702008,2,43449361,76,David Mella (Spain U19) Substitution at 55',David Mella Substitution,2,3300,55',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,375390.0,David Mella,2024-07-26 11:46:36
12526,702008,2,43449361,76,David Mella (Spain U19) Substitution at 55',David Mella Substitution,2,3300,55',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,385017.0,Gerard Hernández,2024-07-26 11:46:36
12526,702008,3,43449362,76,Pol Fortuny (Spain U19) Substitution at 56',Pol Fortuny Substitution,2,3360,56',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387498.0,Pol Fortuny,2024-07-26 11:46:36
12526,702008,3,43449362,76,Pol Fortuny (Spain U19) Substitution at 56',Pol Fortuny Substitution,2,3360,56',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,364742.0,Assane Diao,2024-07-26 11:46:36
12526,702008,4,43449369,94,Luca Lipani (Italy U19) Yellow Card at 69',Luca Lipani Yellow Card,2,4140,69',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,347408.0,Luca Lipani,2024-07-26 11:46:36
12526,702008,5,43449370,76,Jonas Harder (Italy U19) Substitution at 72',Jonas Harder Substitution,2,4320,72',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387440.0,Jonas Harder,2024-07-26 11:46:36
12526,702008,6,43449371,76,Vittorio Magni (Italy U19) Substitution at 72',Vittorio Magni Substitution,2,4320,72',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,365845.0,Vittorio Magni,2024-07-26 11:46:36
12526,702008,5,43449370,76,Jonas Harder (Italy U19) Substitution at 72',Jonas Harder Substitution,2,4320,72',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,347408.0,Luca Lipani,2024-07-26 11:46:36
12526,702008,6,43449371,76,Vittorio Magni (Italy U19) Substitution at 72',Vittorio Magni Substitution,2,4320,72',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,358465.0,Aaron Ciammaglichella,2024-07-26 11:46:36
12526,702008,7,43449372,94,Pol Fortuny (Spain U19) Yellow Card at 82',Pol Fortuny Yellow Card,2,4920,82',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387498.0,Pol Fortuny,2024-07-26 11:46:36
12526,702008,9,43449374,76,Jesús Rodriguez (Spain U19) Substitution at 85',Jesús Rodriguez Substitution,2,5100,85',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387491.0,Jesús Rodriguez,2024-07-26 11:46:36
12526,702008,8,43449373,76,Tommaso Ebone (Italy U19) Substitution at 85',Tommaso Ebone Substitution,2,5100,85',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387442.0,Tommaso Ebone,2024-07-26 11:46:36
12526,702008,8,43449373,76,Tommaso Ebone (Italy U19) Substitution at 85',Tommaso Ebone Substitution,2,5100,85',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,377563.0,Francesco Camarda,2024-07-26 11:46:36
12526,702008,9,43449374,76,Jesús Rodriguez (Spain U19) Substitution at 85',Jesús Rodriguez Substitution,2,5100,85',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,363041.0,Daniel Rodríguez,2024-07-26 11:46:36
12526,702008,10,43449375,94,Mattia Mannini (Italy U19) Yellow Card at 91',Mattia Mannini Yellow Card,2,5400,90'+1',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,372786.0,Mattia Mannini,2024-07-26 11:46:36
12526,702008,11,43449396,70,Pol Fortuny (Spain U19) Goal at 100',Pol Fortuny Goal,3,6000,100',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387498.0,Pol Fortuny,2024-07-26 11:46:36
12526,702008,12,43449405,76,Yanis Senhadji (Spain U19) Substitution at 102',Yanis Senhadji Substitution,3,6120,102',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,386257.0,Yanis Senhadji,2024-07-26 11:46:36
12526,702008,12,43449405,76,Yanis Senhadji (Spain U19) Substitution at 102',Yanis Senhadji Substitution,3,6120,102',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,377843.0,Rayane Belaid,2024-07-26 11:46:36
12526,702008,13,43449426,76,Marco Romano (Italy U19) Substitution at 105',Marco Romano Substitution,4,6300,105',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387435.0,Marco Romano,2024-07-26 11:46:36
12526,702008,14,43449429,76,Lorenzo Anghelè (Italy U19) Substitution at 105',Lorenzo Anghelè Substitution,4,6300,105',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387439.0,Lorenzo Anghelè,2024-07-26 11:46:36
12526,702008,13,43449426,76,Marco Romano (Italy U19) Substitution at 105',Marco Romano Substitution,4,6300,105',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,372786.0,Mattia Mannini,2024-07-26 11:46:36
12526,702008,14,43449429,76,Lorenzo Anghelè (Italy U19) Substitution at 105',Lorenzo Anghelè Substitution,4,6300,105',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387441.0,Luca Di Maggio,2024-07-26 11:46:36
12526,702008,17,43449472,76,Diego Sia (Italy U19) Substitution at 114',Diego Sia Substitution,4,6840,114',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,384306.0,Diego Sia,2024-07-26 11:46:36
12526,702008,16,43449471,94,Marco Romano (Italy U19) Yellow Card at 114',Marco Romano Yellow Card,4,6840,114',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387435.0,Marco Romano,2024-07-26 11:46:36
12526,702008,15,43449459,94,Iker Bravo (Spain U19) Yellow Card at 114',Iker Bravo Yellow Card,4,6840,114',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,330242.0,Iker Bravo,2024-07-26 11:46:36
12526,702008,17,43449472,76,Diego Sia (Italy U19) Substitution at 114',Diego Sia Substitution,4,6840,114',9780,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,345637.0,Davide Bartesaghi,2024-07-26 11:46:36
12526,702008,18,43449735,94,Raúl Jiménez (Spain U19) Yellow Card at 120',Raúl Jiménez Yellow Card,4,7200,120',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,167060.0,Raúl Jiménez,2024-07-26 11:46:36
12526,702008,19,43449736,94,Miguel Carvalho (Spain U19) Yellow Card at 120',Miguel Carvalho Yellow Card,4,7200,120',9779,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,306516.0,Miguel Carvalho,2024-07-26 11:46:36
12526,702009,1,43450738,94,Viktor Tsukanov (Ukraine U19) Yellow Card at 25',Viktor Tsukanov Yellow Card,1,1500,25',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,380420.0,Viktor Tsukanov,2024-07-26 11:46:36
12526,702009,2,43451124,76,Ayman Aiki (France U19) Substitution at 45',Ayman Aiki Substitution,2,2700,45',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,346564.0,Ayman Aiki,2024-07-26 11:46:36
12526,702009,3,43451125,76,Tymur Tutierov (Ukraine U19) Substitution at 45',Tymur Tutierov Substitution,2,2700,45',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387460.0,Tymur Tutierov,2024-07-26 11:46:36
12526,702009,2,43451124,76,Ayman Aiki (France U19) Substitution at 45',Ayman Aiki Substitution,2,2700,45',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,356651.0,Lucas Michel,2024-07-26 11:46:36
12526,702009,3,43451125,76,Tymur Tutierov (Ukraine U19) Substitution at 45',Tymur Tutierov Substitution,2,2700,45',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,386460.0,Dmytro Bohdanov,2024-07-26 11:46:36
12526,702009,4,43451234,94,Hennadiy Synchuk (Ukraine U19) Yellow Card at 55',Hennadiy Synchuk Yellow Card,2,3300,55',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,384984.0,Hennadiy Synchuk,2024-07-26 11:46:36
12526,702009,5,43451275,70,Valentin Atangana (France U19) Goal at 61',Valentin Atangana Goal,2,3660,61',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,359165.0,Valentin Atangana,2024-07-26 11:46:36
12526,702009,6,43451303,76,Mathis Amougou (France U19) Substitution at 62',Mathis Amougou Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,364764.0,Mathis Amougou,2024-07-26 11:46:36
12526,702009,7,43451304,76,Eli Junior Kroupi (France U19) Substitution at 62',Eli Junior Kroupi Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,361809.0,Eli Junior Kroupi,2024-07-26 11:46:36
12526,702009,8,43451305,76,Kristian Shevchenko (Ukraine U19) Substitution at 62',Kristian Shevchenko Substitution,2,3720,62',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387459.0,Kristian Shevchenko,2024-07-26 11:46:36
12526,702009,6,43451303,76,Mathis Amougou (France U19) Substitution at 62',Mathis Amougou Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,379088.0,Senny Mayulu,2024-07-26 11:46:36
12526,702009,8,43451305,76,Kristian Shevchenko (Ukraine U19) Substitution at 62',Kristian Shevchenko Substitution,2,3720,62',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,380420.0,Viktor Tsukanov,2024-07-26 11:46:36
12526,702009,7,43451304,76,Eli Junior Kroupi (France U19) Substitution at 62',Eli Junior Kroupi Substitution,2,3720,62',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,346520.0,Steve Ngoura,2024-07-26 11:46:36
12526,702009,9,43451360,94,Aboubaka Soumahoro (France U19) Yellow Card at 72',Aboubaka Soumahoro Yellow Card,2,4320,72',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,381633.0,Aboubaka Soumahoro,2024-07-26 11:46:36
12526,702009,10,43451445,76,Samuel Obinaiia (Ukraine U19) Substitution at 79',Samuel Obinaiia Substitution,2,4740,79',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387457.0,Samuel Obinaiia,2024-07-26 11:46:36
12526,702009,11,43451446,76,Kyrylo Dihtiar (Ukraine U19) Substitution at 79',Kyrylo Dihtiar Substitution,2,4740,79',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387461.0,Kyrylo Dihtiar,2024-07-26 11:46:36
12526,702009,10,43451445,76,Samuel Obinaiia (Ukraine U19) Substitution at 79',Samuel Obinaiia Substitution,2,4740,79',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,387458.0,Ivan Yermachkov,2024-07-26 11:46:36
12526,702009,11,43451446,76,Kyrylo Dihtiar (Ukraine U19) Substitution at 79',Kyrylo Dihtiar Substitution,2,4740,79',6946,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,384551.0,Taras Mykhavko,2024-07-26 11:46:36
12526,702009,12,43451447,76,Jean-Mattéo Bahoya (France U19) Substitution at 80',Jean-Mattéo Bahoya Substitution,2,4800,80',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,346662.0,Jean-Mattéo Bahoya,2024-07-26 11:46:36
12526,702009,12,43451447,76,Jean-Mattéo Bahoya (France U19) Substitution at 80',Jean-Mattéo Bahoya Substitution,2,4800,80',6930,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,371472.0,Saïmon Bouabré,2024-07-26 11:46:36
12527,702012,1,43405709,80,First Half begins.,,1,0,,0,0,0,2024-07-29 08:08:27,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-14 07:04:32
12527,702012,2,43405712,66,Hennadii Synchuk (Ukraine U19) wins a free kick on the right wing.,Joel Thompson Foul,1,122,3',22256,0,0,2024-07-15 19:58:00,0.0,0.0,0.712,0.934,0.0,0.0,229958.0,Joel Thompson,2024-07-16 06:18:33
12527,702012,2,43405712,66,Hennadii Synchuk (Ukraine U19) wins a free kick on the right wing.,Joel Thompson Foul,1,122,3',22256,0,0,2024-07-15 19:58:00,0.0,0.0,0.712,0.934,0.0,0.0,,Hennadiy Synchuk,2024-07-16 06:18:33
12527,702012,3,43405750,66,Kieran Morrison (Northern Ireland U19) wins a free kick on the right wing.,Mykola Oharkov Foul,1,595,10',6946,0,0,2024-07-15 19:58:00,0.0,0.0,0.536,0.874,0.0,0.0,365669.0,Mykola Oharkov,2024-07-16 06:18:33
12527,702012,3,43405750,66,Kieran Morrison (Northern Ireland U19) wins a free kick on the right wing.,Mykola Oharkov Foul,1,595,10',6946,0,0,2024-07-15 19:58:00,0.0,0.0,0.536,0.874,0.0,0.0,,Kieran Morrison,2024-07-16 06:18:33
12527,702012,4,43405763,66,Vladyslav Krapyvtsov (Ukraine U19) wins a free kick in the defensive half.,Samuel Glenfield Foul,1,664,12',22256,0,0,2024-07-15 19:58:00,0.0,0.0,0.06,0.622,0.0,0.0,347927.0,Samuel Glenfield,2024-07-16 06:18:33
12527,702012,4,43405763,66,Vladyslav Krapyvtsov (Ukraine U19) wins a free kick in the defensive half.,Samuel Glenfield Foul,1,664,12',22256,0,0,2024-07-15 19:58:00,0.0,0.0,0.06,0.622,0.0,0.0,,Krapyvtsov Vladyslav,2024-07-16 06:18:33
12527,702012,5,43405759,66,Hennadii Synchuk (Ukraine U19) wins a free kick on the right wing.,Gallagher Lennon Foul,1,731,13',22256,0,0,2024-07-15 19:58:00,0.0,0.0,0.692,0.94,0.0,0.0,350897.0,Gallagher Lennon,2024-07-16 06:18:33
12527,702012,5,43405759,66,Hennadii Synchuk (Ukraine U19) wins a free kick on the right wing.,Gallagher Lennon Foul,1,731,13',22256,0,0,2024-07-15 19:58:00,0.0,0.0,0.692,0.94,0.0,0.0,,Hennadiy Synchuk,2024-07-16 06:18:33
12527,702012,6,43405774,117,Attempt missed. Andrii Matkevych (Ukraine U19) left footed shot from the centre of the box misses to the left. Assisted by Hennadii Synchuk with a cross.,Andrii Matkevych Shot Off Target,1,803,14',6946,0,0,2024-07-29 08:08:27,0.0,0.0,0.142,0.569,0.03,0.345,385727.0,Andrii Matkevych,2024-10-14 07:04:32
